"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"06:00:00 PM",20.54
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"08:00:00 PM",20.76
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"10:00:00 PM",20.74
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"12:00:00 AM",20.62
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"02:00:00 AM",20.52
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"04:00:00 AM",20.49
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"06:00:00 AM",20.41
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"08:00:00 AM",20.45
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"10:00:00 AM",20.57
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"12:00:00 PM",20.7
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"02:00:00 PM",20.87
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"04:00:00 PM",21.09
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"06:00:00 PM",21.17
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"08:00:00 PM",21.15
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"10:00:00 PM",21.11
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"12:00:00 AM",21.17
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"02:00:00 AM",20.96
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"04:00:00 AM",20.84
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"06:00:00 AM",20.93
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"08:00:00 AM",20.98
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"10:00:00 AM",21.1
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"12:00:00 PM",21.23
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"02:00:00 PM",21.22
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"04:00:00 PM",21.33
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"06:00:00 PM",21.53
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"08:00:00 PM",21.35
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"10:00:00 PM",21.44
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"12:00:00 AM",21.45
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"02:00:00 AM",21.31
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"04:00:00 AM",21.15
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"06:00:00 AM",21.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"08:00:00 AM",21.03
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"10:00:00 AM",21.33
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"12:00:00 PM",21.6
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"02:00:00 PM",21.49
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"04:00:00 PM",21.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"06:00:00 PM",21.45
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"08:00:00 PM",21.83
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"10:00:00 PM",21.55
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"12:00:00 AM",21.56
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"02:00:00 AM",21.59
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"04:00:00 AM",21.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"06:00:00 AM",21.2
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"08:00:00 AM",21.36
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"10:00:00 AM",21.46
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"12:00:00 PM",21.92
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"02:00:00 PM",21.55
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"04:00:00 PM",21.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"06:00:00 PM",21.3
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"08:00:00 PM",21.25
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"10:00:00 PM",21.33
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,24,2022-08-24,"12:00:00 AM",21.6
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,24,2022-08-24,"02:00:00 AM",22.01
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,24,2022-08-24,"04:00:00 AM",21.43
