"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"10:00:00 PM",10.29
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"12:00:00 AM",10.33
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"02:00:00 AM",11.05
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"04:00:00 AM",11.93
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"06:00:00 AM",11.78
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"08:00:00 AM",13.56
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"10:00:00 AM",13.85
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"12:00:00 PM",13.83
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"02:00:00 PM",14.11
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"04:00:00 PM",14.45
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"06:00:00 PM",15.02
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"08:00:00 PM",15.56
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"10:00:00 PM",15.89
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"12:00:00 AM",16.14
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"02:00:00 AM",16.64
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"04:00:00 AM",16.5
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"06:00:00 AM",16.89
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"08:00:00 AM",17.42
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"10:00:00 AM",17.51
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"12:00:00 PM",17.6
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"02:00:00 PM",17.65
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"04:00:00 PM",17.55
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"06:00:00 PM",18.12
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"08:00:00 PM",17.93
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"10:00:00 PM",17.6
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"12:00:00 AM",17.74
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"02:00:00 AM",18.25
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"04:00:00 AM",18.33
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"06:00:00 AM",17.82
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"08:00:00 AM",17.72
